teks,emosi
"Ketika Anda bunuh diri dengan pekerjaan dan melihat jumlah pembasal berkeliaran, tidak melakukan apa -apa.",amarah
Beberapa tahun yang lalu ayah saya sangat sakit. Dia tinggal di rumah sakit untuk waktu yang lama. Kemudian saya mengalami perasaan mengerikan itu bahwa saya mungkin kehilangan dia.,takut
Saya pikir mereka sudah menyetujui semuanya. Itu akan memakan waktu berminggu -minggu untuk dikerjakan ulang.,kesedihan
Orang tua saya tidak mengizinkan saya pergi ke fungsi sosial yang semua teman saya hadiri.,amarah
"& quot; Keluarga adalah landasan masyarakat kita. Kecuali kita melindunginya dengan institusi pernikahan, negara kita akan jatuh. & Quot;",takut
Tim bro kalah ... .... paling tidak dia bermain dengan Swag ... #freshcut,kesedihan
Ketika saya mendengar bahwa saya telah dipilih pada tahun pertama di University of Zambia.  Ini setelah Form saya lima di Chikola Secondary School.,sukacita
"Ketika seseorang mencoba memperkosa salah satu teman baik saya dan dia mengklaim itu adalah kesalahannya. Dia merepotkannya, mengklaim dia longgar, dan mengancam akan menuntutnya.",amarah
Welp waktu untuk belajar selama beberapa hari ke depan ...,sukacita
Menuju ke kampus di tengah hujan untuk mengambil foto lulusan,sukacita
Kecanduan saya sendiri pada cara anak -anak itu menghargai flora Stonethwaite adalah contoh yang baik.,takut
Momen teror saat Anda pergi untuk minum cokelat panas Anda mengetahui akan membakar mulut Anda.,kesedihan
"Nah, saya berada di bawah banyak tekanan. Bos saya sangat memaksa. Dia menugaskan saya tiga proyek. Sekarang tenggat waktu sudah dekat, dan saya masih belum menyelesaikan semua proyek saya.",kesedihan
Wastafel rusak jadi tidak ada 2 malam: akan menjadi domba..kerah saja pbj!,kesedihan
Saya rupanya kehilangan teman terbaik saya ..,kesedihan
"""@Mattmosley: Ini adalah keunggulan 14 poin paling pucat dalam sejarah sepak bola perguruan tinggi."" tertawa terbahak-bahak",takut
"Orang -orang yang terjebak dalam lift benar -benar mengambil tangga lain kali ,, Don Let Take Over and Wear You Down .. #QUOTE #LIFE",takut
Saya sangat jarang sangat membutuhkan seseorang untuk diajak bicara. Malam ini adalah salah satu malam itu. Semua orang sedang tidur. Saya bingung.,kesedihan
Ketika saya masih Sr di HS. Salah satu penasihat kelas meninggal karena hepatitis. Dia sangat sensitif. Dia tahu rasa malu saya dan menarik saya untuk meningkatkan citra diri saya. Saya merindukan pemakamannya - jadi saya tidak bisa berduka secara publik. Orang tua saya tidak mengerti.,kesedihan
"Ibu mertua saya biasa melakukan hal yang sama kepada kami. Jika itu tidak cukup mendisiplinkan mereka, maka kami terlalu mendisiplinkan mereka. Dia juga mengeluh tentang makanan yang kami beri mereka makan, sekolah -sekolah yang kami kirimkan juga, dan yang lainnya di bawah matahari.",netral
Saya merasa luar biasa.,sukacita
@TheBodyShopuk membawa saya - Saya baru saja membeli semua hadiah Natal saya dan saya tidak perlu menjaring banyak toko! :),sukacita
Ketika saya mendengar bahwa ayah saya telah menemukan surat dari pacar saya dan dia memanggil saya untuk membicarakannya.,takut
Hasil dari melihat diri kita masuk ke dalam suatu situasi tanpa Tuhan. Iman menyadari bahwa dia sampai di sana b4 yang kita lakukan.,takut
Dia menembaknya dengan tatapan ngeri.,takut
"Yah, saya tidak berpikir begitu pada awalnya. Tetapi ketika kami mulai berbicara, saya menemukannya sangat lucu dan jenaka. Aku tidak bisa berhenti menertawakan leluconnya! Dan kami memiliki banyak kesamaan. Kami menyukai tim yang sama, musik, dan yang paling luar biasa, kami berdua menyukai makanan Cina! Saya merasa bahwa kita akan menjadi teman baik.",netral
Tidak berlaku untuk diri saya sendiri.,takut
Aku hanya buang air besar. Pure 100% saus.,sukacita
Dua tahun lalu saya menonton film di TV. Bahkan sekarang itu membuatku takut.,takut
Kelas lalu macet dari makalah terakhir saya di kuartal ini.  Tidak ada alasan untuk merayakannya. Belajar akan dimulai tepat setelahnya.,sukacita
"Tooooooo, jangan sangat canggung pada jam 9 pagi, kami mengerti bahwa tidak ada yang melihatnya, tapi saya lakukan! Dan saya tidak akan bangun untuk melihatnya",kesedihan
"Melihat anjing liar berlari, melewati Anda di Morehouse Campus ..",takut
Sesekali.,netral
Efek samping dari tidak merokok.,amarah
"Ketika saya berusia 12 tahun, saya sering dikejar oleh orang lain dan mendapatkan kerusakan suara.",takut
“@FrankyFade: Timnya panas @andrealandis @iammynority @friscolopez @iamthefabian” Ya Pak,takut
"Ayah, aku takut.",takut
Saya tidak sabar untuk hanya tidur besok! Saya harus belajar malam ini dan besok dan malam berikutnya oh dan 3 esai yang jatuh tempo!,sukacita
adalah emosi remaja yang bahkan bisa diungkapkan oleh makhluk paling sederhana,amarah
"Menekan kekesalannya dipanggil ""Sara kecil"", dia menjawab bahwa semuanya baik -baik saja.",amarah
Sekarang saatnya membongkar dan menyelesaikan beberapa pekerjaan rumah,sukacita
Sly dibiarkan merasa sangat marah.,amarah
Saya telah meninggalkan surat kabar mahasiswa Universitas Cina di atas meja perpustakaan.  Itu telah menghilang ketika saya kembali.,amarah
"Di sebuah konser paduan suara saya muncul sebagai solist. Konser5 sangat bagus, saya lupa semua kerja keras yang telah dilakukan sebelumnya. Hanya ada kegembiraan yang tidak jelas dan perasaan kehangatan, keamanan, dll.",sukacita
@Tshavonne girl gambar buku itu ada di foto twitter saya lol. Nah saya belum menggunakannya ... atau lebih tepatnya mencobanya lol,takut
"Dia melirik ke atas, melihat mata Auguste yang sedih, dan mengira dia mengerti.",kesedihan
Dunia tidak bisa memberi Anda hanya kebahagiaan. Satu bertahan lebih lama. #Gofigure,sukacita
Dia mencelupkan kapas ke dalam air dan mengoleskan mata bengkak yang pucat.,amarah
"""Saya sedih kami belum diberi sambutan yang sama yang diberikan kepada sandera Beirut,"" katanya kepada audiensi yang sangat tersentuh di RUPS bulan lalu.",kesedihan
Oh dini hari khotbah oleh ayah saya,sukacita
Jika Anda dirampok selama kesengsaraan itu karena Anda tidak masuk ke cara yang telah ia berikan untuk Komuni #Prayer yang menyenangkan dengan Tuhan Tuhan,sukacita
"Selamat pagi, Jim!",sukacita
Tidak takut besok karena saya melihat kemarin dan saya suka hari ini #less,takut
Mereka Soud menyukai tetangga dari neraka!,amarah
"Jika Chris Paul Sum, bagaimana pergi ke Clippers. Idk aku akan kehilangan itu",sukacita
"Waktu saya kehilangan pertandingan bulutangkis, yang seharusnya saya menangkan di Kejuaraan Badminton Tutup Zambia.",kesedihan
"Iklan -iklan itu muncul di Novoye Russkoye pada akhir pekan, menyebabkan gebrakan kegembiraan di kantong ekspatriat Soviet di Brighton Beach, juga dikenal sebagai Little Odessa.",sukacita
Saya dan #anxiety diangkat. Saya pikir saya akan lulus #statistics dan mungkin bahkan melakukan setengah layak. Mendapat 90% di #Exam ketiga,takut
Senang bersatu kembali dengan sahabat saya hari ini! Hujan dan kami harus menemukan jalan ke teater untuk pertunjukan dansa di pusat kota.,sukacita
"Bukan dari merek ini, saya khawatir.",kesedihan
Saya tidak bisa menunggu sampai faktor saya suka pertunjukan itu !!!!!! Lewatkan Menontonnya :-),takut
"Belajarlah sepanjang hari besok, sebagian besar hari Sabtu dan Minggu.",sukacita
Jadi ?,netral
Baru saja melihat kotak shandy musim panas yang kosong di sebelah lemari es bibi saya. Tapi tidak ada liene yang dapat ditemukan,kesedihan
Hampir setahun kemudian saya mengemudi di jalan raya pada jam sibuk tanpa rasa takut !!!  Saya menaklukkan saya dengan #confidence! Terasa Hebat!,takut
"Suaranya bergetar, wajahnya putih dengan kesedihan.",kesedihan
"Menjadi penyendiri untuk menargetkan, panache dan hob lob ...",kesedihan
"Ini biasanya akan mendorong detak jantungnya tetapi dengan denyut nadi yang sudah berlomba karena alkohol, menari dan kegembiraan partai umum kenaikannya tidak terlihat seperti biasa.",sukacita
"Guru -gurunya curiga akan popularitasnya, kesal dengan kurangnya minatnya pada pekerjaan akademik dan membuat marah karena ia masih bisa mencapai nilai tinggi dalam ujian.",amarah
"Ketika mereka memecahkan karya artistik beberapa minggu.  Perubahan dilakukan dan rusak tanpa izin, mereka tidak berhak melakukan ini.",amarah
"Tidur siang selama beberapa jam, sekarang menonton film Natal",sukacita
"Bagi pemiliknya, itu bisa berarti patah hati karena kehilangan hewan peliharaan keluarga.",kesedihan
"Di sini, ada taurine di kibbles obrolan dalam ruangan. #meow",takut
Itu tidak mungkin. Anda selingkuh.,amarah
"Tidak ada tidur siang sore untuk saya, membakar episode saya menjadi DVD untuk mempersiapkan Stu The Hard Drive. :(",kesedihan
Saya akan bekerja mulai jam 9 malam-6 pagi di Black Friday,sukacita
Tidak ada .,netral
Saya berada di rumah dan kami sedang tidur ketika kami mendengar beberapa perampok masuk ke rumah kami.,takut
@Mwscripts menginginkan anak anjing Bulldog Inggris.,kesedihan
Saya akan menjadi yang paling kecewa jika mereka benar -benar mempertimbangkan Taylor Swift untuk peran Eponine dalam versi film Les Mis ....,amarah
@Sabambury Saya berharap semua orang melihat gereja sebagai sorotan Natal!,sukacita
"Dalam ekspresi simpati masyarakat, banyak anak -anak setempat di Ronaldsay Selatan membuat dan mengirim kartu ke empat ibu yang hancur.",kesedihan
3:30 adalah temanku yang akan datang ke jendela saya. Dan saya tertidur sebelum dia datang. :(,kesedihan
"2 & amp; = Buatlah yang menyenangkan, luar biasa #Memories sekarang! & #xa; #recovery #survivors #stopabuse #ptsd #livefree",kesedihan
"Beberapa orang membawa sukacita ke mana pun mereka pergi, dan beberapa orang membawa sukacita setiap kali mereka pergi. - Mark Twain",sukacita
Haay! Adikku bilang dia akan bermain bulu tangkis bersamaku besok: D,sukacita
Anda sebaiknya bersiap untuk ujian.,netral
Pergi ke konser.,sukacita
"Ada kegelisahan publik, pertanyaan di Commons dan penyelidikan yang diperintahkan ke keberadaan Jeffrey.",takut
"Saya diberitahu oleh teman flat saya bahwa, ketika kami pindah ke flat kami, dia berharap kami membeli makanan kami secara terpisah - acara ini sebenarnya terjadi sekitar 5 bulan setelah pembagian kami dimulai. Sebelum ini, dia tidak mengatakan apa -apa.",amarah
"«@Revrunwisdom tidak takut besok, karena saya telah melihat kemarin dan saya suka hari ini #less»",takut
"Jangan mendapat kesan bahwa Anda membangkitkan kemarahan saya. Anda lihat, orang hanya bisa marah dengan orang -orang yang dia hormati. ~ Richard M. Nixon",amarah
"Kami melakukan banyak hal. Di pagi hari, kami pergi berenang dan berperahu. Di sore hari, kami bermain basket atau tenis. Kami duduk di sekitar api unggun di malam hari. Kami bernyanyi atau bercerita.",sukacita
Kopi Arab Apa yang bisa saya lakukan untuk membuat Anda bahagia.,sukacita
"Saya merasa takut pada cara seorang teman baik menatap saya, dan juga sedikit takut dengan arah yang akan terjadi.",takut
Pagi Tweeps .. Semoga kalian sangat enak dan #happyness,sukacita
Ketika saya menerima hasil tahun pertama karena tahun pertama melibatkan banyak pekerjaan dan saya sangat senang ketika saya mendapatkan hasilnya.,sukacita
Baru saja kembali dari kelas sejarah terakhir saya sampai semestre berikutnya.,kesedihan
"Kemarahan yang mengerikan, geram, dan impoten mengisinya, membuatnya ingin menyerang, berteriak dan berteriak.",amarah
Hari lain dihabiskan di tempat tidurku. Saya benar -benar harus mendapatkan kehidupan.,kesedihan
Setuju saya dari Hights hari ini! Pergi jauh ke puncak pendakian! Sooo bangga dan kocok enrique di quad bersepeda !: D love my girls x,takut
"Ketika saya masih seorang prajurit, saya bertengkar dengan komandan saya dan mungkin membalas dendam karena ini dia merinci saya bertugas dua malam berturut -turut. Tentu saja dia memeriksa saya pada malam kedua dan menemukan saya tertidur di mana dia mengirim saya ke sel.",amarah
Tidak terlalu !,netral
Nyonya konser dengan @kdclapp06 oleh beberapa orang yang samar.,sukacita
Ke pantai,netral
Saya ingin Anda dan Sheila tahu betapa saya sangat menghargai kebaikan yang ditunjukkan kepada saya dalam suasana hati saya yang putus asa.,kesedihan
Semua orang dari sekolah.,netral
"Tidak, saya hanya memeriksa berat badan saya, saya semakin gemuk.",amarah
Tidak percaya kebohongan melihat saya di mata saya tlz dnt b takut saya .. saya merindukan #drake yang dalam,takut
Ketika saya lulus ujian tiga formulir saya.,sukacita
Saya tertawa - saya tidak merasa tersinggung.,amarah
"Tenggorokan saya terbakar .. Kurasa aku akan pergi ke dokter besok. Dalam berita lain, malam ini adalah malam yang sukses (: Puji Tuhan!",sukacita
"Ya, ada sesuatu yang baik dan informatif. Saya pikir banyak orang meremehkan nilai TV dalam pendidikan.",netral
kuat. #Darkness kuat. A #Soul adalah sinar cahaya yang cerah dan berani.,takut
"Steven, saya ...",takut
Bertemu dengan seorang teman lama saya.,sukacita
"Tidak peduli berapa umur saya, kapan pun saya memiliki blower daun, saya akan meledakkan orang terdekat dengan saya. Membawa saya",sukacita
@Markparkinson80 Sekarang pria itu jenius yang tepat,takut
Ketika saya berpikir bahwa saya telah gagal dalam pemeriksaan.,takut
Sejak saya melewati DMCT tahun lalu saya bisa menghabiskan jam matematika saya sama sekali tidak melakukan apa pun di perpustakaan ..,sukacita
"Ketika saya menjadi sadar bahwa pria tidak memiliki apa pun, mereka tidak memiliki tujuan. Mereka memiliki: seks, tapi ini tidak penting.",kesedihan
"Nah, ini hari yang istimewa. Mereka mengatakan jika Anda bertahan pada tahun pertama, sisanya berlayar lancar.",sukacita
Mereka semua tampak sangat sedih.,kesedihan
"Selama hari -hari berikutnya mengikuti keberangkatan Brackenbury yang tergesa -gesa, kesedihan Edward meningkat.",kesedihan
Ayah saya menjanjikan sepeda untuk ulang tahun saya. Tepat sebelum ulang tahunku dia lupa dia berjanji ini padaku.,amarah
Auguste menembaknya dengan marah.,amarah
Kehilangan percikan saya menghantui saya setiap hari,takut
"Saya bekerja dengan beberapa teman sekelas di suatu proyek.  Saya sangat cemas tentang proyek tersebut sementara mitra saya tidak menunjukkan kekhawatiran dan ketika kami mengadakan pertemuan tentang proyek teman sekelas saya tidak memperhatikan.  Beberapa dari mereka membaca buku sementara yang lain berdebat tentang pertanyaan yang tidak relevan.  Pertemuan akan berlangsung selama dua jam tanpa tema utama yang dibahas.  Kami membuang waktu dan tidak bisa mencapai kompromi.  Teman sekelas saya menghindari melakukan pekerjaan dan tanggung jawab, mereka tampaknya lebih menghargai proyek lain daripada yang ini.",amarah
TAKUT. = Bukti palsu tampak nyata,takut
Ketika anak saya kembali dari pendakian gunung - sehat dalam tubuh dan jiwa.,sukacita
permukaan air naik di dekat rumah saya #flooding,takut
Dalam perjalanan untuk membersihkan kekacauan yang dibuat di Urban hari ini.,sukacita
Ketika saudara laki -laki saya melanggar kacamata bacaan saya.,amarah
"Sungguh, Mary, kamu mengerikan.",amarah
Ketika saya menutup mata saya tidak akan bangun! Lai  #kebenaran,takut
Ada apa? Anda tidak terlihat terlalu bagus.,netral
Jadi sekarang saya ditakdirkan untuk melupakan sesuatu. Saya hanya memiliki keberuntungan yang buruk.,sukacita
"Amerika adalah Korea Utara yang baru, Cina, Jerman, dan Rusia. Kami adalah antagonis paranoid yang dikendalikan oleh militer, memata-matai diri, dan menyensor antagonis paranoid.",takut
Kemudian TOOT dari terompet dan badut dengan mata yang sangat sedih datang padanya di kursi sisi cincinnya dan dia ingin melarikan diri.,kesedihan
Lebih banyak pelatihan penjaga pantai besok malam.,sukacita
Ketika seorang teman sebelumnya menyebarkan desas -desus negatif tentang saya.,kesedihan
Para pendatang baru merasa berbahu dingin oleh penduduk setempat pada kesempatan-kesempatan dan menjadi membenci dari klanhishness mereka yang hampir kesukuan.,amarah
"Lihat orang -orang, mengatasi keterbatasan, dengan melihat bahwa mereka bisa menjadi siapa yang mereka impikan! Bahwa kapasitas mereka adalah kompas!",sukacita
Ulang tahun dan Natal saya sudah dekat dan saya tidak tahu apa yang saya inginkan,sukacita
Lucu sekali bagaimana orang yang mengikuti Anda akhirnya berhenti mengikuti Anda hanya karena Anda tidak pernah mengikuti mereka kembali.,kesedihan
"`Saya dulu sedih dan menyedihkan, tetapi saya tidak begitu menyedihkan lagi.",kesedihan
Membeli hadiah xmas pertama saya hari ini !! Begitu penuh dengan saya suka waktu Natal !!,sukacita
"`Apa maksudmu, Rachel? ""Ibunya bertanya perlahan, mengabaikan penampilan suaminya yang marah.",amarah
"Saat saya mengetik, saya mendapatkan SMS ... sayang baik-baik saja (bergerak & amp; berdetak jantung) karena dia o-, mereka telah memberikan bidikan RH, untuk aman. Bayinya baik -baik saja!",sukacita
Thanksgiving: Menghabiskan malam di Ruang Emegency.,sukacita
Ibuku bertanya apakah Cole menangkap rusa tahun ini ... Bu kau membunuh rusa ...,kesedihan
Hari ini sudah sangat libur. Waktu untuk bekerja di kruk besok,sukacita
(Kitab Suci Mukjizat 700 SM) Lihatlah Perawan akan hamil & amp; Bear a putra & amp; akan memanggil namanya Immanuel. 7:14,sukacita
Pembicaraan berjalan dengan baik? Paling kesal dengan akting bermain dan bermain game berbahaya #Flashmen? #skynews #skypapers,takut
"Suatu pagi cangkok keras tersisa, lalu 8 hari matahari, makanan dan bevy. Hanya perlu melewati perjalanan pesawat, omong kosong yang menakutkan.",takut
Ketika saya melihat saudara lelaki saya diserang dan saya tidak bisa melakukan apa pun.,amarah
"Dia mengkhawatirkan apa yang akan terjadi pada saya. """,takut
Saya sangat senang @harley_cope5 tidak pernah mengatakan dia bersyukur untuk saya menjadi salah satu teman baiknya.,kesedihan
"Ketika dia bertanya -tanya ini, dia merasakan kesedihan yang mendalam.",kesedihan
"Selamat siang di gym, bawa itu dan itu tapi leavin itu",takut
@Mrctn615 kami memakai mahkota karena kami pantas mendapatkannya!,sukacita
Pergi berbelanja dan kembali kosong -di rumah ...,kesedihan
"Jangan terlalu mudah tersinggung. Saya hanya tidak mengerti programnya, itu saja.",netral
"Pada hari libur, melihat Lanscape di Girona.",sukacita
Cukup yakin ciuman hanya pernah memainkan sekitar 3 lagu yang berbeda. Dan mereka TGIF Remix membuatku kesal. Dan mereka mengatakan 'Gwetta' dan 'Agwilera'.,amarah
Pecahan kaca kecil memangkas wajah ekstatik Rohmer.,sukacita
Pelayan !,amarah
Kecerdasan menempatkan manusia di atas takhta. Iman menempatkan Tuhan di sana.,takut
Mendapatkan pekerjaan paruh waktu.,sukacita
"Saya percaya itu adalah hadiah pernikahan bagi kami berdua, Joanne. Dan Anda hampir tidak pernah menggunakannya!",amarah
Tidak ada yang akan memuaskan saya lebih dari itu untuk melihat cahaya meninggalkan matanya dan tahu dia tidak lagi menarik napas,amarah
"Hoskyns, yang hanya memiliki satu tahun lagi untuk hidup, marah di universitasnya.",amarah
kehilangan orang yang saya cintai,takut
Para penumpang tampak ngeri.,takut
Apakah hanya saya atau orang lain di luar sana menyukai aroma postingan mereka,sukacita
Akan mengebom tes fisika ini,sukacita
Selamat pagi dunia!,sukacita
"Gelombang yang penuh belas kasihan mendekati itu, menyembuhkan keputusasaannya.",kesedihan
Kematian kerabat.,kesedihan
"☁☾ & quot; Ketakutan bisa membuat kita tetap hidup sepanjang malam, tapi ... f a i t h membuat satu bantal bagus & quot; ~ unk",takut
Makan permen pertama saya musim ini,sukacita
"Dia pernah dianggap sebagai salah satu wanita paling cantik di dunia, tetapi kemarin setiap baris terukir di wajah Britt Ekland menceritakan kisah kesedihan pribadi.",kesedihan
Sebelum memberikan seminar kepada khalayak yang agak besar.,takut
Saya berharap saya berada di London sehingga saya bisa pergi ke trafalgar square @louis_tomlinson saya berharap saya bisa bertemu Anda semua,kesedihan
Ya . Sepertinya dia tidak pernah bisa menerima pernikahan tanpa anak. Kami bertengkar tadi malam.,kesedihan
Anda harus menaruh beberapa deterjen di bak mandi sehingga Anda bisa mendapatkan aksi gelembung dat,sukacita
bekerja lalu berolahraga kemudian pekerjaan rumah,sukacita
"Brasil, misalnya, jengkel bahwa KTT itu tidak dijadwalkan untuk kencan setelah pelantikan presiden baru bulan depan.",amarah
"Ketika anak saya jatuh dari ranjang pada usia 5 bulan, saya menjadi sangat gugup dan berpikir bahwa itu akan menyebabkan cacat di kepalanya.",takut
"Sangat bersemangat untuk pesta pesta besok malam dengan salah satu sahabat saya, miss emma rose :) xxxx",sukacita
Saya melihat kuda -kuda yang ketakutan di tepi setetes curam.,takut
"Saya secara fisik diserang dan dilecehkan secara seksual sekitar setahun yang lalu. Perasaan bahwa saya mungkin tidak bisa pergi utuh, atau bahkan hidup, menghasilkan ketakutan.",takut
"Setelah fakta itu membuat saya malu, saya merasakan kesedihan.",kesedihan
"LOL Bisakah orang berhenti dengan situasi mikrofon FNS Arashi, oke kita mengerti. Ngomong -ngomong, saya masih tidak dapat menemukan TMR's Perfs",kesedihan
@Boljigirl saya bahkan tidak tahu apa yang terjadi. Hal -hal telah terlipat.,kesedihan
"Sangat bersemangat!  Orgelbau, Dillingen, dipilih (dengan suara bulat) untuk membangun organ baru untuk gereja saya!",sukacita
"Ketika saya memberi makan bayi prematur (7 bulan), bayi itu terkekeh. Saat itulah saya bekerja di bangsal anak -anak, saya pikir saya telah membunuh bayi itu.",takut
Anda adalah alasan untuk banyak pengabdian saya. @Itik jantan,takut
Di rumah teman -teman saudara saya tidak melakukan apa -apa. Inilah yang terjadi ketika saya kembali ke rumah,kesedihan
Sama sekali tidak. Mungkin ini tentang pernikahan kita.,kesedihan
Siapa yang menang ?,netral
Penembakan di sekolah perlu berhenti.  Saya tahu tidak ada perbaikan cepat untuk ini. Tetapi sekolah seharusnya aman.,kesedihan
"@Rxkitten saya melakukannya dan mereka tidak benar -benar membuat saya penasaran.  Plus, akhir kampanye ini anti-iklim hingga tingkat ke-n.  Copot install game.",amarah
Terkadang saya berharap saya memiliki rambut hitam..bara banyak yang menemukan rambut menenun. :(,kesedihan
Ayah saya membuat api unggun. Kami memiliki cokelat dan grahmcrackers tetapi tidak ada marshmallow ... apa ini. & lt;/33,kesedihan
"Jadi saya menjahit, berjalan ke bawah untuk membuat sepanci kopi ... dan menemukan dekorasi Natal dengan ayunan penuh !!! Harus mencintai anak perempuan!",sukacita
"`Afrika Selatan Harus khawatir betapa mudahnya kami melewati, dan dekat dengan garis mereka, karena mereka tahu bahwa Will Carling dan Jeremy Guscott adalah yang tercepat di dunia.",takut
Memiliki sesh yang rusak besar! Kenapa mereka pernah putus!,kesedihan
Di tepi tergelincir dan menang ...,takut
Benar -benar tidak ada alasan mengapa Star harus bersilangan.,amarah
"Kursus terakhir, ketika saya lulus dengan tanda bagus tiga subjek yang sebelumnya saya gagal.",sukacita
"Selamat tinggal, perpisahan, begitu lama ....",takut
Kamu nigga bercinta; Anda takut homo menyebabkan Anda takut mereka giring pada Anda & amp; Hancurkan apa yang Anda slutted. #KERAS,takut
"Benci kereta hanya berlari untuk satu dan melewatkannya sedetik, melihatnya pergi, sekarang setengah jam menunggu yang berikutnya oh",sukacita
"Tidak ada lampu, tidak ada wifi, tidak ada cara sialan untuk membuat makan malam saya.",amarah
"Dia menoleh ke Fran, gangguan pingsan melintasi wajahnya.",amarah
Bagi saya karena saya tidak punya banyak pengikut: '(,kesedihan
Saya tidak akan merusaknya.,netral
"Wow terdengar menarik! Permisi jika saya agak usil tapi, berapa umurmu?",sukacita
Apakah Anda tidak menutup mata! .. ubah apa yang telah diprogram di dalam !!,takut
Baru menyadari bahwa saya alergi terhadap sampo saya !! Besar!,kesedihan
Ini juga akan terjadi di pagi hari & gt ;. & lt; ugh apapun idc lagi:/,kesedihan
"Saya cukup sering mengalami emosi ini tetapi hari saya paling marah adalah hari saya ditarik untuk sesuatu yang belum saya lakukan.  Itu terjadi selama masa sekolah saya, saya belum mengucapkan sepatah kata pun di kelas tetapi monitor telah menulis nama saya di papan tulis.  Jadi saya memiliki komentar di Callender saya yang harus saya tandatangani oleh orang tua saya.  Kejadian ini mengakibatkan saya dipukul.",amarah
"Ketika dia memberi tahu Barbara setelah itu, dia tidak pernah merasa lebih tertekan.",kesedihan
"Oh, makanan di sini benar -benar buruk. Sup saya dingin dan daging, Anda ... itu seperti kulit.",amarah
Saat Anda menyadari bahwa Anda telah kehilangan satu orang yang paling Anda butuhkan tetapi tidak akan mengakuinya,kesedihan
"Mendengarkan Divisi Eternal oleh Joy. Sedih, sedih dan indah semuanya bercampur. Divisi #ian Curtis",sukacita
"Saya membuat diri saya menguntit seorang pria dari usia ayah saya, saya menolaknya sebagai teman, tetapi dia menyukai semua yang saya lakukan di depan umum",takut
"Ngomong -ngomong, waktu untuk puas dengan naik pesawat yang bagus dan banyak Rusia yang saya baca",sukacita
